0,"Great washing machine.  Have been using it for almost a year without any problem. Cleans well and has many functions like soak, delicate wash, quick wash, quiet wash, tub clean and air dry.  The glass top lid gives it a great look and it is not too noisy.   Since it is agitator-less, it can accommodate more clothes and feels more than 6.5 kg capacity.   It is big enough for our family of four (2 adults and 2 children)."
1,Gave one star because I couldn't find '-' or '0' star. after so many complaints about lint filter not working well how come company still selling this product in the market. I feel like i bought this machine to ruin my clothes. I am stuck with this machine bcoz I've  paid $1000 and tried to sale it online but the resale value is just $300. What a shame!!!
2,"Every couples of years I need to replace a washing machine, when I bought LG washing machine from a retailer in 2009 to now is about 10 years time I still use it."
3,Machine 1 year old and it damages clothes- stretches it and leaves lint on half load.
4,"What is even more of a headache is the LG customer service (offshore) - the most terrible customer service i've ever received- inconsistent, lacks care, poor communication. Called over 12+ times, constantly following up before I am able to get a technician."
5,"For a 7.5kg machine, i put 3 kgs (less than half a load) in and maximum water, they advised I am overloading machine and i need to use more water- what a joke for a 4 star water efficiency!"
6,"Their definition of ""troubleshoot"" is put clothing in bags and don't overload."
7,I have lost trust in the brand and quality of customer service. Never again LG. Life is not good!
8,"I do 2 washes a week on average; for one person (me!). One load with bed sheets, 1 towel and hand towel and floor mat, the other is office/gym clothes that are not really soiled but some black work pants/skirts. Rarely do I have a wash that I don't have to remove lint. I have one short-haired cat that does not shed much fur. Not dogs, no excessively fluffy clothes!! White sheets can come out with brown lint stains over them, meaning I have to put them through a cycle again. I pay for water where I live so this is not economical. The wash cycle I choose is the default wash not the quick cycle as at least this default cycle spins the clothes to be dryer. But it takes quite a long time. I am totally dissatisfied with this machine. Most major parts have been replaced due to faults in the operating when it was barely 1 year old. Mostly the OE error. Finding the lint filter is a nightmare. The machine can end up with an OE error and an incomplete wash cycle and you can't do a thing about it. Manually rinse and wring out the clothes!!!. I read this OE is the filter is clogged but every time a technician has been out, it is ""clean as a whistle"". So they replaced the motherboard. Next time the struts needed replacing, something the LG technician said happens on a machine nearly 10 years, not 2 years old. Recently it flooded and the OE error again. Incomplete wash and 6 towels to mop up the laundry and dining room inundation. Thank god I have tiles. Technician from LG, who was quite rude to me, said he ""could not replicate the error but would replace the pump"". Yesterday the spin function stopped working. Another OE error. More hand wringing. All the time I am asking for a refund because this product does not meet consumer expectations that it should wash your clothes and not keep failing. I have been told I have to use the 3 hours of super-heated water Tub Clean cycle (more water and electricity usage) once a month and put vinegar in the water to ""break down the lint"", and use de-scaler product to ""break down the lint"", and put the liquid OMO (the highest  rated product) into a cup of hot water before using it to reduce lint. 10 years with a Fisher and Paykel and never had to do any of those things. I have NEVER used fabric softener. But what if people choose to? LG don't recommend it as it encourages lint. The LG support centre refuses to give me a contact for LG Australia to communicate with. I have been told ""if it can be fixed, it won't be replaced"". Every time I call LG with a problem, they tell me ""but madam, you have only called us once before"" so they do not keep a track of all the times this machine has failed. I have had to ask them to consolidate all call records. So I have an 8.5kg machine with very little demand on it's fundamental design (to wash clothes) and it fails my expectations. It is only just 3 years old. I see LG not backing up their reputation by authorising a refund on what is very obviously the worst washing machine I have ever used (and many others after reading this web site). I am going back to F&P or Simpson. In short, LG needs to step up and look after customers. Very, very disappointed."
9,"I purchased my LG Washing Machine after my Fisher and Paykel of 20 years finally stopped working.  I did quite a bit of research  and both LG and F & P came up as very good products.  Whilst I may have preferred the F & P, I was limited by the lid opening space I had to my Wall Dryer hence the purchase of the LG."
10,"To date I have been quite happy with this appliance.  I read other reviews where people complained of the clothes being twisted and tangled and yes this does happen but as I usually hang my clothes on the line, it doesn't take much to untangle them.  It would probably be more annoying if you were putting them in the dryer."
11,"I find it washes the towels very clean (as good as if not better than my old F & P) on the towel cycle.  It doesn't seem to be too hard on our clothes.  I always do a cotton wash cycle.  To date I haven't really used any of the other options except a quick wash which is good for smaller loads.  On average the time for a wash is anywhere between an hour and an hour and fifteen mins and that is with a full load.  I am quite happy with no agitator in the middle of the machine and I do like the see through, soft close lid."
12,"I have had a problem on at least 6 occasions of the machine indicating there was a problem with the lid closing (code ""de"").  I have to wipe the contact points a couple of times to get the machine to start, so I don't know whether it is using washing powder vs washing liquid that causes the problem or it is a defect with the machine and other users have that problem too.  I have not rung LG yet to discuss this issue so I can't comment on what help I will receive from them but I will ring next time it happens."
13,Overall I am very happy with this product which not only performs to my satisfaction but looks good in the laundry as well.
14,"The machine has more high tech functions that will provide almost any wash combinations possible, Great value at the price and the warranty service is very good. But to start the machine the high tech self start packed in the first day and after repairs continues to malfunction. It is a technical issue that can't be solved as the item is way to over complicated. So when you get the error report tap the right side of the machine near the top and it works."
15,"I bought the LG 8.5 kg Top Loader washing machine, I had problems with the machine leaking water after the washing cycle is finished the machine keeps leaking water inside the drum, the inlet valve needs replacing it only lasted 2.5 years.I'm really disappointed with LG Washing machines and don't recommend it for anyone."
16,"Have been unsatisfied with this product and the way it washes. Swishes from side to side, barely cleaning any of our clothes. Detergent left on clothing (even when we have triple checked amounts used). Lint on every wash regardless of tub clean or filter clean. Have tried everything to fix from our end and no luck. Customer service gives same advice but it's obviously just the machine. Family members with same machine have experienced this also. Waiting for it to die and then never buying an LG again!"
17,Summary of the above washing machine purchased February 2018:-
18,LG's Selling points:-
19,"1) Big size, 9.5kg2) Programs are way too long.3) Supposed to allows us to wash quilt, blankets and pillows with ease4) See through glass on the top to see what’s happening3) Option to stop the machine to add items that you forgot to added in during washing4) Supposed to have advanced computerised operating options. To customise how you want the washing completed, including the number of rinse cycle, level of water, minutes of washing...etc which I thought was a great idea at the time of purchase5) The extra spin cycle gets clothes really dry, so less time needed to get the clothes to dry completely under the sun or in the dryer"
20,Negative points:-
