0,"We bought this product for our car to provide maps etc for camping, it is brilliant and does exactly what we need it to do.would purchase another one when required"
1,"Purchase this because it is cheap. The camera was better than expected.At first, the battery can last for 3 days, but now, I have to charge at least once a day. Not sure if there's any difference between local and import quality."
2,"For the first few months this phone amazed me. It was quick, very responsive and lasted all day with heavy use on one single charge. However this was short lived, I had to replaced the battery and it became very slow. My phone also had a small fault when sometime the focus of the back camera would fail to function. You can get a phone if equal quality for much less so simply save that money and look for a cheaper phone with the same specs from a smaller company without the brand name"
3,Camera quality is great during the day and still good at night as long as you know the right settings. very durable and not worry too much when I would occasionally drop it by accident Apps run smoothly and battery lasts a long time.
4,"The last Samsung phone I used was the Note 2 and then I started trying out a bunch of different brands. After many years, I returned back to Samsung and it was one of the best decisions I have made. Over the years, Samsung have continually innovated on their products trying to bring the BEST to their customers."
5,"S8 has a solid camera (front camera is a bit fake though), good size (easy to hold on one hand or have small hands in general), barely any lag, and beautiful to look at."
6,"The downsides would be the battery is not the best. With Note 7 exploding, Samsung around that time was more conservative with their battery decisions. It could have been engineered with a slightly larger battery. It  does last me through the day if I charge during work hours, but it would be nice if it was just a bit better."
7,"The curved edges are beautiful, but it is VERY hard to find a good screen protector. As a result, I haven't used one since my second month. After almost 1 year and a half of use, it does have some fine scratches on the screen which is painful to see, but hard to notice."
8,Curvy screen can be a problem for tempered glass to stick on. Great camera with good autofocus and low image noise in low light condition. Durable built and ergonomic buttons placements.
9,"I used samsung s5,s7, s7 edge but s8 features are really good. Camera is just best even on night.I Bought s8 on last year and so happy with everything. Display and Brightness is good.Yes because of good ram"
10,The camera quality is great and adequate for daily photos. I love the screen without edge and the size of S8 is just big enough for me to hold with one hand. The apps run on android smoothly and I have had no issues with it for last 18 months.
11,"I had s7 edge prior to buying s8 on a contract.  Personally android platform works better than ios for me so that’s the reason I bought my S8.I think the look is pretty nice since it has thinner bezel but nowdays there are lots of new phones with no bezel so I think it’s starting to get look outdated.The camera is acceptable but not great. I find pictures taken by S8 (or any other Samsung phones) are too sharp and has that Samsung colour which I’m not really fond of.However, the phone is still snappy considering it’s nearly 2 years I’ve been using it.I fixed my screen twice and I got charged $220 in 2018 and $250 in 2019 (price raised..) at Samsung store. The good thing is they replace the battery with the screen free of charge. For the second visit, I went to Melbourne Central Samsung store and they fixed it on the same day which was a bonus."
12,"I have the Samsung galaxy S8 plus. This is one of the best phones I have ever owned. The camera is excellent, video recording is just great, has excellent speaker."
13,i love my galaxy phone. perfect camera resolution. nice design and quality. from the moment i have bought this phone i enjoyed working with it. its size is perfect for gaming and watching videos.
