0,"Got this for my little girl and she loves it. Use it for watching kid shows and drawings.I'll say it's pretty decent tablet for kid nowadays, does it job by keeping them entertained."
1,Very good tablet for the price. I still have this tablet. It is not very fast but you get what you pay for. It is inexpensive and daily use tablet.
2,"Perfect for what I need and perfect size. I think the only thing I would indicate here is that the tablet's system and software already occupies 4.5+GB of memory so out of 16GB, you only truly get around 11."
3,"This is a great tablet if you can get it for around ~$250. Great for basic usage, e.g. browsing, social media, media playback. It's a got a decently vibrant screen and long battery life. Feels a bit cheap as it's a plastic chassis, but I don't notice it with a case on. Speakers and camera are terrible as expected."
4,Reliable and easy to use for the kids and link to gmail account. Kids use it gor games and mathonline. They love it much easier then ipad. More reliable.and would recommend it.
5,Coming to a larger Samsung screen has made such a difference from my old leveno 8inch tablet.Full HD resolution plus surround sound speakers make it the perfect movie /Netflix /YouTube machine.
6,"Specs are on the high side, 3gb of ram should do for a mid size tablet and it is still getting Google security updates."
7,Can't recommend this tablet enough. I even bought my neighbour one the day after I ordered mine!
8,"Features are poor, runs slowly and does not support a stylus, decent as a kids throw away if you can get it at a good enough size, would not recommend for any other purpose"
9,"My daughter's Samsung Galaxy Tab A 7"" was 14 months old. She plugged it in to charge overnight and it caught on fire. Smoke alarms went off and woke us up. The house reeked of burning plastic."
10,On the phone Samsung said all the right things and said to return it to them for review and replacement under warranty. Now they're saying that because i used a third party charger the warranty is void and I'll need to pay $300 to repair a $150 tablet.I value my child's safety and will not be purchasing or recommending Samsung products to anyone.
11,"What's the point of buying a tablet if you can't even log into it? I have gone through 3 of these tablets since the end of November, each has had the same issue, I have been using it go away to do something else and then I can't log into it. This is a faulty product, each has lasted around 2 months before breaking, I've returned each one, this was the last one I was going to try and it worked fine until about an hour ago, now I can't even log into it. Samsung needs to fix this issue, as it is a frustrating and a pain to keep having to return them. I also left a review for the Samsung Northland store, where I was told that the only way to fix my tablet was to pay $60, not good customer service."
12,My old tablet finally died and I got the new Tab A from JB. Better screen and faster than the old one. Great for streaming and browsing. Definitely a good buy at the price.
13,I bought this tablet second hand unopened for $100. Far from amazing but is sufficient for a multimedia tablet.
14,Pros:-Good battery life (due to lower res)-Runs Oreo-Runs smooth and reliably as a multimedia tablet-SD Card and SIM slots.
15,"Cons:-Just a standard HD display-Not a particularly sensitive display-Small screen for a tablet-Low internal space much less than 16GB-Poor cameras-Permanent hard navigation buttons-Not really great for high spec games-Can't see/locate navigation buttons in poor light (my biggest gripe, ended up painting dots on buttons with a marker)"
16,Most of the cons are due to known specifications so if you still buy it you can't really complain. You couldn't compare it to flagship phone rather a lower end mid range device.I would recommend this tablet if you can find it for the right price.
