0,"I love the option of having 2 freezers or 1 freezer and an extra fridge space, which is the way I use the fridge."
1,But this fridge is not without its issues. It is well built but I had to give it a bad review because of the issues. The drawers for vegetables are too hard to remove from the fridge to clean them as the doors won't open wide enough to get them out.
2,BUT the big issue is with the ice maker. I travel a bit so am away for weeks at a time so that while I'm away the ice maker freezes over and on my return it won't work. Having read reviews here and overseas this is a major problem with Samsung fridges. I have had 2 service calls in 12 months for the same issue. The first time a mechanism in the ice maker was replaced and now the computer has been replaced. This time it took the serviceman over 20 minutes to steam the ice loose so that he could open the ice maker as it had completely frozen over! No wonder I couldn't get it to to open...
3,Here's hoping this works because if it doesn't I expect a new working fridge from Samsung.
4,"I have had problems with my Samsung french door fridge for 2 years now.  Samsung promised to repair it and put me onto a local company RQ in Melbourne who said they would fix it.  They changed parts of the ice maker but it still ices up in back of the fridge.  The fridge is very cold and vegetables freeze up.  I would not touch a Samsung fridge again, beware if buying, Samsung just don't care.  Im taking this to court and am suggesting a class action - please get in touch if you wish to join.  There is something seriously wrong with this fridge"
5,Ice maker broke within 12 months was told they would fix it and if it broke again offer a refund. 4 weeks later and two goes at fixing it broken again. Repairer informed it was a design fault and all Samsung fridges with ice makers so I asked for refund. Samsung refusing to refund now want a forth go at fixing it and claim they will not refund me just keep fixing. Fridge work ok but I paided for a fridge with a ice maker not to keep taking days off work to have someone have a go at fixing a 12month old fridge.
6,"Not every family needs a double door fridge with icemaker but for us it makes a difference. Icemaker works fine, we haven't had any trouble with it. Only thing I wish is the tubs in the freezer were shaped a bit better for stacking food"
7,This fridge is very reliable and has 1 shelf that will open for your taller items. The main negative is there is no build in lock function so my 2 year old just opens the freezer doors and helps himself all the time and it's such a pretty fridge would be nice to have a lock full action instead of using ugly stick on child locks.
8,"Really wanted this fridge and saved for a long time. For $4k it’s not worth the outlay when it does the same things a fridge half the price would do. The ice maker after one year started freezing up and has done so for the past year every month. We have to used a hairdryer every time now to thaw the inside mechanism and then it works for a little while and then all happens again. We run the fridge at the recommended temp so I have no idea why. Great big space inside but heaps of wasted space. When I emptied my last tiny fridge contents into this one, I filled it to the max straight up!! Heaps of room to wave a wand inside but ....???"
9,This was an upgrade from our old fridge and is much bigger and better equipped.  No complaints at this stage and off to a good start.  Cools well and quickly and maintains a good stable temperature.  The freezer is stable and works well also and has plenty of room compared to our old one
10,"Let me first say that I love this refrigerator. Has enough room for everything. It is a counter depth refrigerator so it fit right where we needed it to be...but....as with others that I see on the reviews, our ice cube freezer ices up and we have to defrost it. I had a protection plan and they came to fix it, but it happened again 1 month after repair. My plan had ended so there will be no new fixing, which doesn't seem to help anyway. Today I was going to reach out to Samsung but I can see by the other reviews that this is a wasted effort as Samsung does not seem to care. Shame on you Samsung that you continue to sell your product but don't fix an issue that many owners are experiencing."
11,"We're happy with the fridge performance and it gets lots of positive comments about it's looks but the door has since purchase made a horrible noise (like a weird bird squeaking is how I'd best describe it).  Purchased from Winnings who graciously offered to call for a service on our behalf, missed a call from Samsung on my mobile around a week later then when I rang them back I spent around 30 minutes on the phone to try to book a service call in without my serial number (which I didn't take to work with me). It was almost impossible but after so much time I didn't want to have to call back again so insisted on speaking to a supervisor and finally they booked a service call.  Samsung management must be hard to work for, the poor guys in the service department tried very hard to get me to almost analyse what I could do to the fridge doors to fix the problem myself without a service call.  Questions like ""Do the doors align at the top?"" ""Have you tried to find out if the seal is properly installed"" were asked.  I told them that I work (which surprised them that I couldn't dedicate a whole day to the fridge repair), it's important I work to help pay for the fridge and the food in it I suggested.  Anyway, I hope the repair will go smoothly, there's even a printed piece of paper I have to sign to give them before they will touch the fridge (so they get paid for their repair I suppose).  All this took ages to organise and I was left wondering is this nice looking fridge all worthwhile?  P.S. When I use the icemaker I have to be careful it doesn't spit ice shavings all over the floor by covering the front of the container the ice goes into but apart from that we have been using it for around 9 months and are happy with the performance of the fridge and the internal configeration suits us too."
12,"The fridge never preformed in the way it was intended to. I read a few reviews about this fridge, but thought that they may not be true. I went and bought the fridge regardless. The freezer is the worst I've seen in my life. Ice-cream will NOT freeze always runny, water in a 600ml bottle will take 3 days to freeze and not 100% frozen. Have set to lowest temp, mid temp, did the quick freeze but didn't work.I've been a big Samsung fan and that is why I bought the fridge, but this experience changes everything."
13,The motor of fridge is noisy and runs for long extended times even if the doors are opened at minimal times. We tested both freezer doors below by placing the same bottle of 600ml water in the same location of each door at the same time. We did this a few times and never are they consistent or freeze fully...
14,If your after looks ONLY and don't care about runny ice cream and food not freezing then yeah make the mistake I did.
15,"I will be returning the fridge and not accepting repairs. I don't pay over $3000 on an item to have it repaied.So disappointed with Samsung and all the negative reviews relating to this product and costumer service that I'm really considering boycotting Samsung. Ill swap both my note 9 to an apple, all the family tabs to ipads and my Samsung tv to an LG... very disappointed."
16,"Bought a $3900 dollar fridge from SamsungThe worst mistakeIce maker crapFridge guarantee crapDealing with Samsung,you get better reaction talking to a wallDon't buy a Samsung fridgeSamsung was told about fridge in NovemberNow january still waitingMy Advice don't deal with themMy Name is Jix Michels   I live in Kurnell my email is jix@tpg.com.au"
17,"I will start my review by saying we are very happy with the fridge size, capacity, variable options and look, so far this is a great fridge with a flaw.We can also say we can not fault the servicing we have received from Samsung.  I do say service as the day of delivery on the 17 December 2018 a few hours after installation we noticed a water leak from under the fridge over the kitchen floor. We turned off the water tap and checked all the fixtures were correct. Plugged in again and few hours later yet again still leaking. A service call was placed and a Samsung contractor was very quick to respond and attend. This must be a regular fault as the service man walked straight in and dismantled the ice dispenser and replaced with the a new one he had specifically brought with him.The leak was now fixed but still not able to get cold water. The manual said to allow a little time for this. After 2 days we still had tepid water from the dispenser. When Samsung rang to check the leak was fixed and we advised the water issue and they said someone would be in contact soon. We did not hear from anyone so raised another service call to which they did respond very quickly but also assured us on the phone that the water should be cold. A repair man was here the next day. He knew exactly what we had a problem with and said he has to attend to this nearly every day.  This fridge does not dispense cold water at all and never will.  This is apparently the problem of having an ice dispenser. We specifically went to purchase a fridge that dispensed cold water, we did not require and did not want an ice maker in any capacity.  We went above budget to purchase this fridge for the cold water dispenser but also due to the option the freezer could be used as a fridge instead.  Apparently the only fridges that dispense cold water are the side by side. We were not told this at the time of purchase as this would have made a change to our purchase. Not happy at all that we paid over $3000 for a water filter.I will finish my review on the fridge itself in saying the space in the fridge is great as we have now gone from 2 regular sized fridges to just one.  The option to have one space as a fridge or freezer is also a bonus as we do require more fridge than freezer space with our lifestyle and now that I still have to keep water bottles in the fridge."
18,There’s a door for the fridge that does not close easily and we always have to go back to close it. The water filter and ice is really cool and convenient. The inside is a bit small which is weird considering the size of it. The colour is great very fitting and not noticeable when it’s dirty on the outside
19,"ve our new Samsung Fridge. Love the space, and the ability to covert freezer space to additional fridge space."
20,"Clean design and lines, easy to open and close doors, and good water and ice dispenser. Enough space for our large family, and for entertaining. Look likes like a nice high-end fridge."
21,"We bought our fridge about 18 months ago.  Love, love, love the fridge.  Its amazing how much you can fit into it considering it doesn't look as large as it truly is.  Use the facility of converting the fridge to freezer.  However, not long after having it, we did have issues with the ice maker which we use all the time.  It continually  faltered. From dripping, to then freezing and then to not working at all (even after doing all the proper checks and home maintenance).  The first two times the faulty component was replaced.  After the third fault with the same part, a report was written to Samsung by the technician.  He felt it would always be an issue,  I think we were just unlucky.  Not once did Samsung accuse us of it being User Error, nor did the  technicians.  Samsung within no time offered us either our money back or total replacement.  As we love our fridge so much, we decided on the replacement.  We were originally given 7-21 days before delivery.  Didn't even wait a week, and it arrived on Christmas Eve (today).  Amazing.  Having had experiences of faulty appliances in the past (not Samsung) they are usually quick to blame the user.  Not in this case at all.  We usually end up continually replacing parts, often at our cost.  Their customer care is second to none and I will not hesitate at all in purchasing more Samsung products in the future."
22,"Love our new Samsung Fridge. Love the space, and the abilty to covert freezer space to additional fridge space."
23,"Clean design and lines, easy to open and close doors, and good water and ice dispenser. Enough space for our large family, and for entertaining. Look likes like a nice high end fridge."
24,This refrigerator is the best. Love how it has a bunch of space and easy to clean. Easy to make ice and doesn't take alot of power to run. Bright light for the night when wanting a quick snack. Very convenient to slide on floor. Not a bad price. High quality. Yes. Recommend to friends.
25,We love our fridge! The space is adaptable so we can change things around when we’re entertaining so That all the different platters etc. fit! The ice maker is great! Saves room in the freezer and holds a good amount of ice. It can be a bit noisy when refilling but you can turn it off if you need to.
