"id" "content" "date" "star"
"1" 1 "This little stick-of-gum sized piece of hardware blows my mind. I did a fresh install of Windows 10 Pro onto it in mere minutes, and the system boots in a few seconds.If you're not in the know here's a NOTE:Make sure your system is utilizing the new UEFI platform rather than the old BIOS platform to take full advantage of the latest tricknology and all of its advantages. This means your system drive (where you install Windows) will have a \"GPT\" Volume rather than a \"MBR\" Volume. You'll have to boot into your UEFI interface, and turn off \"CSM\" likely under BOOT Options before installing Windows or directly afterwards as well as when you update your UEFI/BIOS. It's good to double-check the CSM setting stays off whenever you add another storage drive as well.If you type \"Disk Management\" in Windows start menu search box, double click to open screen, right click on your system drive, select \"Properties\", and choose \"Volumes\" tab, you'll see either \"GPT\" or 'MBR\" listed under \"Partition Style\".One last thing: Consider backing up your important stuff, and just fresh install your OP System making sure to use the UEFI/GPT platform; I've never had success converting an MBR System from the dark side over to the light side of the force unfortunately. But, I'm just a novice with little experience.5 year warranty, and as fast as you need. Samsung is hard to beat. " "July 30, 2018" "5.0"
"2" 2 "This is the best and fastest drive I have ever had by far. Replaced my 250gb 960 evo with this new 512gb 970 Pro in literally minutes! Using Samsung¡¯s excellent cloning software, I cloned the 960 to an old 840 Pro, replaced the 960 with the 970 and rebooted with the 840, then cloned the 840 to the 970. Literally took maybe 10 minutes total! Technology sure has come a long way from the old days. I¡¯m actually seeing double the write performance for the 970 Pro over the 960 evo. I¡¯ve attached my first test on the new drive and have subsequently gotten even better results! What¡¯s not to like? With the new lower price it is a steal. " "June 12, 2018" "5.0"
"3" 3 "The Samsung 970 Pro 1TB NVMe SSD is the best SSD on the market today. With the revised Samsung pricing been 130 dollars less than the original MSRP this SSD is now a very very good value. When you look at the performance and advantages of the 970 Pro over the 970 EVO and other SSDs on the market it becomes very clear this SSD is the best. First of all, the type of NAND the 970 Pro uses is different than almost any other SSD on the market. While almost every SSD on the market is made of 3-bit 3D NAND, the 970 Pro uses the much better 2-bit MLC V-NAND. This NAND has several advantages over 3-bit 3D NAND, much better performance, much better endurance, more reliable and the most important one, doesn't slow down like 3-bit 3D NAND does. Samsung has 5 years warranty on this drive, has the best support in the business and when you look at the overall picture, the Samsung 970 Pro is well worth the extra money over the 970 EVO in my opinion. The experience by using this SSD is awesome. Your PC feels so fast and responsive. I highly recommend that if you can spend the extra 100 for the 970 Pro just do it. The advantages are very clear. This is a wonderful wonderful SSD. 10/10. " "July 12, 2018" "5.0"
"4" 4 "Have this in my ASUS ROG Strix X470-I SFF (small form factor) PC. 31-second boot time from a completely powerless pc, with 18-22 programs that start on start-up. 28-second complete restart cycle, again with 18-22 active programs on start-up. Because this is the highest rated PCIe NVMe - M.2 for consumers, of course, it makes everything I have ever owned before pale in comparison. I'll lastly say, I have zero regrets with the purchase. Highly recommend, especially to those who are interested in SFF computers.Ryzen 7 2700xIC Graphite Thermal Pad 40x40ASUS ROG Strix X470-ISamsung 970 Pro 1TB PCIe NVME M.2CORSAIR VENGEANCE RBG 32GB (2x16GB) DDR4 3000 MhzNH L12 - Noctua CPU CoolerSF Corsair 600w PSU1080 TI FECase: Louqe Ghost S1 MkII " "June 29, 2018" "5.0"
"5" 5 "I recently acquired the new MBP 15.4\" and wanted to utilize its Thunderbolt 3 technology to the fullest and started looking around for a great external SSD. I settled on the TEKQ Rapide Thunderbolt 3 SSD and decided I want it maxed out in terms of performance so I took the plunge on this Samsung 970 PRO 1TB PCIe NVMe - M.2 to replace the TEKQ's internal SSD.Well, I'm truly blown away by the performance of this SSD. Samsung is definitely on the cutting edge with SSD. This thing smokes. I'm not a video/photo pro myself but do handle large media files for the company's marketing work which involves editing and shuttling of studio photos of products and demo videos. I also oversee operations so I don't want such work to slow me down in anyway.I can happily say that the TEKQ Rapide Thunderbolt 3 with this Samsung 970 PRO SSD is, by far, the best external SSD I've ever had the pleasure of using. I suppose it'll only get faster and better in the future but, for what I do, this is about as good as it gets. It feels and works as fast as my iMac 27\" 5K and MBP's internal SSDs. An HD movie file transfers in a split second.I'm not a geek so I don't care to measure the speed using an app like Blackmagic. I can easily sense it while doing real life work and it makes me more productive. I have the HP P800 as well in the work office and it's great but the TEKQ with this Samsung SSD is a step above, even if we're talking a fragment of a second. Awesome stuff. I don't see myself outgrowing this SSD for a long time to come. " "August 18, 2018" "5.0"
"6" 6 "I used this NVMe SSD with my dell inspiron 7000 series that had Core i7 8th generation processor and 8GB of RAM, I bought this NVMe SSD to replace the stock SATA which had only 256GB on it, and that was not enough for me, so I thought i will go for something high end to pump up the startup and shuddown speed too since i¡¯m always on the move.The performance is outstanding, blazing fast and very stable at the same time, it unleashed the power of the core i7 processor.Great job Samsung, Bravo <U+0001F44F><U+0001F44F><U+0001F44F> " "July 9, 2018" "5.0"
"7" 7 "I was shocked at how easy this installation went; I was completely prepared to have to update my bios, pull my hair out, threaten the computer with a fiery death, etc... but it was super easy to find the m.2 slot on the motherboard (there is only one on my asus x299) and then I fired up the computer and opened disk management and got the drive setup; then I used the samsung magician software to optimize the drive and then the same software to clone my primary ssd boot drive; all went off without a hitch; didn't need to update my bios or anything; after cloning my boot drive I pulled that slow ssd out and am now using the m.2 as my primary boot and operating drive; Computer boot up is much quicker then before and autocad runs very fast utilizing this new drive; I work with sometimes very complicated cad drawings and drive/memory access speed is crucial to smooth operation; I highly recommend this drive but recommend you check your mother board before you buy to make sure you have a m.2 slot to plug it into; " "September 13, 2018" "5.0"
"8" 8 "these are great, i have used samsung ssds for a long time now and they have always outperformed the competition, and sometimes even their own advertised specs. i would recommend samsung memory over others for the ground up approach they take to design, using ics and firmware built in house, to keep reliability high. anyways, i think these are not as good as the sata samsung ssds i have had usually are. i bought two of them, used them in multiple configurations (different ports on the board, different levels of raid), and found them to be a modest increase in speed, but not the 4x speed that i see cited in places online. certain actions are very fast, like using dd on an entire 512gb drive, which took seconds. things like boot time, however, seem mostly unchanged. my biggest issue was the adhesive stickers, it seemed to be only their for marketing and makes it so i cant attach a heatsink without breaking out the heat gun and trying to clean all the gunk off. i understand that samsung claims its drives are built for running without a heatsink, but i would really appreciate the option, some of us want our pcs as silent and cool as possible. also my VMs do not see the same speeds my native linux host does, and this is after a lot of messing around with hugepages, raid, and the IO emulator. a sequential read write test will give numbers in the 3000mbps but when i try a more real world test they seems to slow down. i am still playing with settings of course, and might well edit this later. " "June 19, 2018" "4.0"
"9" 9 "Drive is great. However, I am very disappointed with Samsung Data Migration software. I was trying to clone 960 EVO 0.5TB in my HP Elitebook 820 G3 to 970 PRO 1TB and here are the major issues:1. Samsung Data Migration requires destination drive to be Samsung.2. I found one USB 3.1 external enclosure for M keyed NVME drives and it does not pass drive ID to the system so the 970 PRO was not detected by Data Migration soft as a valid destination drive.3. I could not boot Win 7 using my 960 EVO in that external enclosure (Windows kept crashing almost immediately). I tried that to keep 970 PRO installed inside the laptop hoping Data Migration will detect it as destination drive.4. I also tried using NGFF M.2 Key A+E to Key M SSD Adapter to connect the drive via internal NGFF M.2 connector used for WiFi card but the system did not see the drive at all.5. I tried using two Asus Hyper M.2 x4 cards in my desktop HTPC to connect these two drives. While they both were detected by the system, Samsung Data Migration software requires system drive (the one you boot from) to be source drive, so I still couldn't clone them.Eventually, I installed 960 EVO back inside the laptop, 970 PRO in the external USB enclosure and cloned everything with AOMEI Backupper (Clone Disk option). After installing 970 PRO inside the laptop I just extended system partition with Windows tools. One more thing to remember: install Samsung NVME driver before you clone your system. " "September 25, 2018" "3.0"
"10" 10 "The item is definitely not a evo 970 pro, it is a Microsoft ADATA, which only have the capacity of 199G, it used a evo 970 sticker to cover the Asd, but it is not evo 970 pro " "October 26, 2018" "1.0"
"11" 11 "I was really looking forward to this fast NVMe drive, but a HUGE letdown for me was its inability to support hardware-based full-disk encryption with the \"GIGABYTE X299 AORUS GAMING 7 PRO\" motherboard. It took me a week of experimentation and re-installation of Windows 10 and back and forth email communication with the Samsung tech support, only to give up in the end.How is it, Samsung, that I can set up hardware encryption with your older SSD drives but not with this new and expensive drive?Also, how about your train your tech support people? I had a very poor experience. At times I thought that I knew more about the subject than they did. They were giving me conflicting answers every time I received a reply. Eventually they just stopped answering my questions.... sad! " "October 8, 2018" "3.0"
